"","case_order","children","age","income","outage_sec_perweek","email","contacts","yearly_equip_failure","tenure","monthly_charge","bandwidth_gb_year","item1","item2","item3","item4","item5","item6","item7","item8","churn","area_rural","area_suburban","area_urban","marital_divorced","marital_married","marital_never_married","marital_separated","marital_widowed","gender_female","gender_male","gender_nonbinary","techie_no","techie_yes","contract_month_to_month","contract_one_year","contract_two_year","port_modem_no","port_modem_yes","tablet_no","tablet_yes","internet_service_dsl","internet_service_fiber_optic","internet_service_none","phone_no","phone_yes","multiple_no","multiple_yes","online_security_no","online_security_yes","online_backup_no","online_backup_yes","device_protection_no","device_protection_yes","tech_support_no","tech_support_yes","streaming_tv_no","streaming_tv_yes","streaming_movies_no","streaming_movies_yes","paperless_billing_no","paperless_billing_yes","payment_method_bank_transfer_automatic","payment_method_credit_card_automatic","payment_method_electronic_check","payment_method_mailed_check"
"1",1.09861228866811,0.693147180559945,3.3322045101752,9.98533340280129,2.54152951524751,2.56494935746154,0,0.693147180559945,0.768570464490321,5.49566116401712,6.68708711898226,1.38629436111989,1.6094379124341,1.38629436111989,1.38629436111989,1.6094379124341,1.38629436111989,1.6094379124341,1.6094379124341,"Yes",0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0
"2",1.38629436111989,1.6094379124341,3.93182563272433,9.17061881342078,2.46409153389819,2.30258509299405,0,0.693147180559945,2.81864563543202,5.08107874054601,7.62837508772038,1.6094379124341,1.6094379124341,1.09861228866811,1.6094379124341,1.6094379124341,1.38629436111989,1.38629436111989,1.38629436111989,"No",0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
"3",1.6094379124341,0.693147180559945,3.89182029811063,9.84830406958865,2.76717029654899,2.77258872223978,1.09861228866811,0,2.89520597753792,4.79543378775135,7.68044323142077,1.6094379124341,1.6094379124341,1.6094379124341,1.09861228866811,1.79175946922805,1.6094379124341,1.38629436111989,1.38629436111989,"No",0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1
"4",1.79175946922805,0,4.43081679884331,10.5985127185769,2.21347149330004,2.83321334405622,1.09861228866811,0.693147180559945,0.982442348523313,5.01693750007869,5.60761452647374,1.6094379124341,1.6094379124341,1.6094379124341,1.38629436111989,1.6094379124341,1.6094379124341,1.6094379124341,1.79175946922805,"Yes",0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1
"5",1.94591014905531,1.38629436111989,4.43081679884331,10.0284094899318,2.24294048621846,2.77258872223978,1.38629436111989,0.693147180559945,2.07956572834335,5.22578802769682,6.9473201473303,1.38629436111989,1.38629436111989,1.38629436111989,1.09861228866811,1.6094379124341,1.38629436111989,1.38629436111989,1.38629436111989,"No",0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0
"6",2.07944154167984,0,4.38202663467388,9.34735942563427,2.50001892610129,2.39789527279837,0,0.693147180559945,2.65582832202911,5.30389436613532,7.55393818771621,1.94591014905531,1.79175946922805,1.94591014905531,1.6094379124341,0.693147180559945,1.79175946922805,1.79175946922805,1.79175946922805,"Yes",0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0
"7",2.19722457733622,1.09861228866811,3.43398720448515,10.1946874302492,2.17380039013468,2.83321334405622,0,0,1.66093966359303,4.75316686875948,6.88817758834181,1.09861228866811,1.09861228866811,1.09861228866811,1.79175946922805,1.09861228866811,1.38629436111989,1.6094379124341,1.79175946922805,"Yes",0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1
"8",2.39789527279837,0.693147180559945,4.46590811865458,10.8244155158137,2.27293214843325,2.94443897916644,0.693147180559945,0,1.48661156189275,5.09670713764031,6.23394746411556,1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,1.79175946922805,1.09861228866811,1.38629436111989,1.38629436111989,"No",1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1
"9",2.63905732961526,0,4.43081679884331,11.334660628548,2.22720135607534,2.30258509299405,0,0,2.63987787073644,4.93043090779788,7.08789781176004,0.693147180559945,1.09861228866811,0.693147180559945,1.6094379124341,1.38629436111989,1.09861228866811,1.38629436111989,1.38629436111989,"No",1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0
"10",2.70805020110221,1.79175946922805,3.40119738166216,11.6536918592364,1.92870085656055,2.70805020110221,0.693147180559945,0,2.88363915805614,5.22559352220116,7.57542797107892,1.79175946922805,1.94591014905531,1.79175946922805,1.09861228866811,1.6094379124341,1.79175946922805,1.6094379124341,1.6094379124341,"No",0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0
