"","area_rural","area_suburban","area_urban","marital_divorced","marital_married","marital_never_married","marital_separated","marital_widowed","gender_female","gender_male","gender_nonbinary","techie_no","techie_yes","contract_month_to_month","contract_one_year","contract_two_year","port_modem_no","port_modem_yes","tablet_no","tablet_yes","internet_service_dsl","internet_service_fiber_optic","internet_service_none","phone_no","phone_yes","multiple_no","multiple_yes","online_security_no","online_security_yes","online_backup_no","online_backup_yes","device_protection_no","device_protection_yes","tech_support_no","tech_support_yes","streaming_tv_no","streaming_tv_yes","streaming_movies_no","streaming_movies_yes","paperless_billing_no","paperless_billing_yes","payment_method_bank_transfer_automatic","payment_method_credit_card_automatic","payment_method_electronic_check","payment_method_mailed_check","zip","children","age","income","outage_sec_perweek","email","contacts","yearly_equip_failure","tenure","monthly_charge","bandwidth_gb_year","item1","item2","item3","item4","item5","item6","item7","item8","churn"
"1",0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0.484328631245173,0.125,0.126760563380282,0.172677202923791,0.596053701900058,0.5,0,0.5,0.00213506241695093,0.773872335774234,0.0921651135089528,0.4,0.6,0.4,0.4,0.6,0.4,0.6,0.6,"Yes"
"2",0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0.977102727753161,0.5,0.450704225352113,0.074880072136623,0.542612531339418,0.333333333333333,0,0.5,0.207750000225371,0.38047449728927,0.271179706690466,0.6,0.6,0.2,0.6,0.6,0.4,0.4,0.4,"No"
"3",0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0.924925809992276,0.125,0.422535211267606,0.150202912551729,0.777590498727787,0.666666666666667,0.666666666666667,0,0.226527350919602,0.190206886799236,0.2868679834244,0.6,0.6,0.6,0.2,0.8,0.6,0.4,0.4,"No"
"4",0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0.777023456238058,0,0.915492957746479,0.321205261180324,0.395473351456554,0.722222222222222,0.666666666666667,0.5,0.00937918803367758,0.332900071409214,0.0165613105580487,0.6,0.6,0.6,0.4,0.6,0.6,0.6,0.8,"Yes"
"5",0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0.30514451806984,0.375,0.915492957746479,0.180402442082133,0.410923590611452,0.666666666666667,1,0.5,0.0844560764392843,0.49970526672133,0.126201820028214,0.4,0.4,0.4,0.2,0.6,0.4,0.4,0.4,"No"
"6",0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0.374425789666247,0,0.859154929577465,0.0899025788503112,0.56689252526722,0.388888888888889,0,0.5,0.172291172306866,0.571599414199797,0.250123874708326,1,0.8,1,0.6,0,0.8,0.8,0.8,"Yes"
"7",0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0.732794016016911,0.25,0.169014084507042,0.213548935718795,0.375380416790394,0.722222222222222,0,0,0.0459073030159544,0.166389692637117,0.117671015423858,0.2,0.2,0.2,0.8,0.2,0.4,0.6,0.8,"Yes"
"8",1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0.449530468718241,0.125,0.957746478873239,0.40333255091532,0.427122386292285,0.833333333333333,0.333333333333333,0,0.0340447945899112,0.392536026436078,0.0504402579892639,0.2,0.2,0.2,0.2,0.8,0.2,0.4,0.4,"No"
"9",1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0.525773405422985,0,0.915492957746479,0.673712929779749,0.402615125351458,0.333333333333333,0,0,0.169117932856915,0.273384088848632,0.148623551974646,0,0.2,0,0.6,0.4,0.2,0.4,0.4,"No"
"10",0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0.0327553965608358,0.625,0.154929577464789,0.927952884797855,0.267452828987785,0.611111111111111,0.333333333333333,0,0.223597443260698,0.499533148862027,0.256042583077211,0.8,1,0.8,0.2,0.6,0.8,0.6,0.6,"No"
"11",0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0.60121346396195,0.125,0.169014084507042,0.516736616669805,0.601229688324359,0.388888888888889,1,0,0.127547012025324,0.380560128017701,0.203725801526889,0.4,0.4,0.6,0.2,0.4,0.6,0.6,0.2,"Yes"
